Language,End Power,Stripe Power,Num Iter,Average
Python,5.0,1,10,0.09073255062103272
Python,5.0,2,10,0.08277149200439453
Python,5.0,3,10,0.08466246128082275
Python,5.0,4,10,0.09839696884155273
Python,5.0,5,10,0.24167213439941407
Python,5.0,6,10,0.24857542514801026
Python,5.0,7,10,0.24973275661468505
Python,5.0,8,10,0.23468971252441406
Python,5.25,1,10,0.1131166934967041
Python,5.25,2,10,0.09021549224853516
Python,5.25,3,10,0.09458186626434326
Python,5.25,4,10,0.10782279968261718
Python,5.25,5,10,0.22712130546569825
Python,5.25,6,10,0.4065773725509644
Python,5.25,7,10,0.3989048957824707
Python,5.25,8,10,0.40015153884887694
Python,5.5,1,10,0.14500365257263184
Python,5.5,2,10,0.1179886817932129
Python,5.5,3,10,0.11414096355438233
Python,5.5,4,10,0.12069461345672608
Python,5.5,5,10,0.3113424777984619
Python,5.5,6,10,0.6974198579788208
Python,5.5,7,10,0.7074270248413086
Python,5.5,8,10,0.7031880855560303
Python,5.75,1,10,0.2188617467880249
Python,5.75,2,10,0.16463897228240967
Python,5.75,3,10,0.16622891426086425
Python,5.75,4,10,0.17240571975708008
Python,5.75,5,10,0.3698053121566772
Python,5.75,6,10,1.398763394355774
Python,5.75,7,10,1.405445146560669
Python,5.75,8,10,1.3854928016662598
Python,6.0,1,10,0.37878506183624266
Python,6.0,2,10,0.27117369174957273
Python,6.0,3,10,0.26268093585968016
Python,6.0,4,10,0.2727068901062012
Python,6.0,5,10,0.48670823574066163
Python,6.0,6,10,2.8568793296813966
Python,6.0,7,10,2.867849564552307
Python,6.0,8,10,2.854049825668335
Python,6.25,1,10,0.6170557022094727
Python,6.25,2,10,0.4970065116882324
Python,6.25,3,10,0.4842247247695923
Python,6.25,4,10,0.4932771444320679
Python,6.25,5,10,0.6921511888504028
Python,6.25,6,10,2.8763201951980593
Python,6.25,7,10,5.902442574501038
Python,6.25,8,10,5.83801121711731
Python,6.5,1,10,1.1205956935882568
Python,6.5,2,10,0.9490352153778077
Python,6.5,3,10,0.9273765087127686
Python,6.5,4,10,0.981488823890686
Python,6.5,5,10,1.018701148033142
Python,6.5,6,10,4.961296701431275
Python,6.5,7,10,12.702573156356811
Python,6.5,8,10,12.544772672653199
Python,6.75,1,10,2.2887784004211427
Python,6.75,2,10,1.9614068508148192
Python,6.75,3,10,1.9772552967071533
Python,6.75,4,10,2.0350342988967896
Python,6.75,5,10,2.103302788734436
Python,6.75,6,10,6.147686505317688
Python,6.75,7,10,26.931978631019593
Python,6.75,8,10,26.812155842781067
Python,7.0,1,10,4.585135054588318
Python,7.0,2,10,4.175549387931824
Python,7.0,3,10,4.1545967102050785
Python,7.0,4,10,4.248562479019165
Python,7.0,5,10,4.401315426826477
Python,7.0,6,10,8.343424534797668
Python,7.0,7,10,58.133629417419435
Python,7.0,8,10,57.51267094612122
Python,7.25,1,10,9.713847184181214
Python,7.25,2,10,8.96257462501526
Python,7.25,3,10,9.106465673446655
Python,7.25,4,10,9.316414189338683
Python,7.25,5,10,9.453993034362792
Python,7.25,6,10,11.938946652412415
Python,7.25,7,10,58.822837591171265
Python,7.25,8,10,129.00789425373077
Python,7.5,1,10,21.01887004375458
Python,7.5,2,10,19.678639674186705
Python,7.5,3,10,19.763652086257935
Python,7.5,4,10,20.07200095653534
Python,7.5,5,10,20.924647736549378
Python,7.5,6,10,21.58886511325836
Python,7.5,7,10,112.38782742023469
Python,7.5,8,10,276.962211728096
Python,7.75,1,10,46.27688827514648
Python,7.75,2,10,43.279524612426755
Python,7.75,3,10,43.24506216049194
Python,7.75,4,10,44.31743416786194
Python,7.75,5,10,45.3653226852417
Python,7.75,6,10,47.37192966938019
Python,7.75,7,10,143.0600786447525
Python,7.75,8,10,611.0960021018982
Python,8.0,1,10,102.19384660720826
Python,8.0,2,10,96.75052254199981
Python,8.0,3,10,97.09825007915497
Python,8.0,4,10,99.4551988363266
Python,8.0,5,10,100.01377794742584
Python,8.0,6,10,103.44264800548554
Python,8,7,10,200.00120148658752
Python,8,8,10,1379.6655332803725
Python,8.25,1,10,225.5314089536667
Python,8.25,2,10,217.2136850118637
Python,8.25,3,10,217.3921937942505
Python,8.25,4,10,223.46490540504456
Python,8.25,5,10,225.60880036354064
Python,8.25,6,10,229.34086167812347
Python,8.25,7,10,282.52282140254977
